"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2024,3533.98,3533.98,3533.98,3533.98,3533.98,3533.98,3533.98
"2",2025,11992.9,11992.9,8302.88,2398.64,0,15132.4,11992.9
"3",2026,11669.2,11669.2,9240.23,3303.5,0,13117.8,11669.2
"4",2027,12282.9,12282.9,10358,4310.95,0,13320.8,15490.6
"5",2028,14579.7,14579.7,12488,5668.77,0,15824.1,16602.7
"6",2029,18442.1,18442.1,15833.8,7562.64,0,20092.7,20273.8
"7",2030,22731.8,22731.8,19730.8,8905.9,0,24586.8,24565
"8",2031,25829.1,25829.1,22911.7,10092.8,0,27505.6,27468.5
"9",2032,27184.8,27184.8,24666.2,11151.6,0,28539.3,28525.9
"10",2033,27460.6,27460.6,25282,11967.8,0,28620,28618.7
"11",2034,27408.3,27408.3,25378.7,12536.4,0,28518.8,28519.8
"12",2035,27345.3,27345.3,25342.6,12905.1,0,28465.2,28465.8
"13",2036,27321.3,27321.3,25307.4,13134.9,0,28454.4,28454.6
"14",2037,27317.3,27317.3,25291.4,13272.5,0,28456.1,28456.1
"15",2038,27318.4,27318.4,25286.9,13352.7,0,28458.1,28458
"16",2039,27319.4,27319.4,25286.3,13397.7,0,28458.7,28458.7
