,Fleet_name,Fleet_code,Species,Sex,Yr,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Factor,Fleet,Yr.1,Sex.1,Label
61,Pcod_bt_survey,1,1,0,1977,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1977,0,1977_4_Lsel
611,Pcod_bt_survey,1,1,0,1978,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1977,0,1977_4_Lsel
61.1,Pcod_bt_survey,1,1,0,1979,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1977,0,1977_4_Lsel
61.2,Pcod_bt_survey,1,1,0,1980,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1977,0,1977_4_Lsel
61.3,Pcod_bt_survey,1,1,0,1981,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1977,0,1977_4_Lsel
61.4,Pcod_bt_survey,1,1,0,1982,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1977,0,1977_4_Lsel
61.5,Pcod_bt_survey,1,1,0,1983,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1977,0,1977_4_Lsel
61.6,Pcod_bt_survey,1,1,0,1984,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1977,0,1977_4_Lsel
61.7,Pcod_bt_survey,1,1,0,1985,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1977,0,1977_4_Lsel
61.8,Pcod_bt_survey,1,1,0,1986,0.036371018,0.054677073,0.208948619,0.544085173,0.788204673,0.776668956,0.641785787,0.520466533,0.444348302,0.401962173,0.378950975,0.366246986,0.358982375,0.35465145,0.351957777,0.350213895,0.349042985,0.348230864,0.347651351,0.347167333,Lsel,4,1977,0,1977_4_Lsel
