"","Area","Yr","Era","Seas","Bio_all","Bio_smry","SpawnBio","Recruit_0","SpawnBio_GP:1","SmryBio_SX:1_GP:1","SmryNum_SX:1_GP:1","sel(B):_1","dead(B):_1","retain(B):_1","sel(N):_1","dead(N):_1","retain(N):_1","obs_cat:_1","F:_1","sel(B):_2","dead(B):_2","retain(B):_2","sel(N):_2","dead(N):_2","retain(N):_2","obs_cat:_2","F:_2","sel(B):_3","dead(B):_3","retain(B):_3","sel(N):_3","dead(N):_3","retain(N):_3","obs_cat:_3","F:_3","SSB_vir_LH","ABC_buffer"
"1189",1,1975,"VIRG",1,651313,596604,410857,0,410857,596604,389802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410857,NA
"1190",1,1976,"INIT",1,395894,361926,247038,0,247038,361926,239829,1000.39,1000.39,1000.39,475.422,475.422,475.422,1000,0.00313436,2001.66,2001.66,2001.66,659.912,659.912,659.912,2000,0.00838765,0,0,0,0,0,0,0,0,247038,NA
"1191",1,1977,"TIME",1,403588,378911,240906,2233830,240906,378911,263853,653,653,653,325.993,325.993,325.993,653,0.00193257,1615,1615,1615,577.11,577.11,577.11,1615,0.00669631,0,0,0,0,0,0,0,0,240906,NA
"1192",1,1978,"TIME",1,422439,366403,260534,504176,260534,366403,222038,3263,3263,3263,1477.41,1477.41,1477.41,3263,0.010256,8927,8927,8927,3290.31,3290.31,3290.31,8927,0.0323592,0,0,0,0,0,0,0,0,260534,NA
"1193",1,1979,"TIME",1,504136,352520,252020,539057,252020,352520,224087,3790,3790,3790,1766.47,1766.47,1766.47,3790,0.0127331,11114,11114,11114,3939.35,3939.35,3939.35,11114,0.0445078,0,0,0,0,0,0,0,0,252020,NA
"1194",1,1980,"TIME",1,593197,553340,247466,1220140,247466,553340,622007,9851,9851,9851,4384.03,4384.03,4384.03,9851,0.0346651,25494,25494,25494,10655.2,10655.2,10655.2,25494,0.102316,0,0,0,0,0,0,0,0,247466,NA
"1195",1,1981,"TIME",1,635060,584367,302871,1080140,302871,584367,474746,10485,10485,10485,5893.61,5893.61,5893.61,10485,0.0208036,25646,25646,25646,12238.5,12238.5,12238.5,25646,0.0612425,0,0,0,0,0,0,0,0,302871,NA
"1196",1,1982,"TIME",1,668967,575750,376994,1273490,376994,575750,391153,6680,6680,6680,3518.94,3518.94,3518.94,6680,0.0129321,22785,22785,22785,10106.8,10106.8,10106.8,22785,0.0487794,0,0,0,0,0,0,0,0,376994,NA
"1197",1,1983,"TIME",1,713828,627386,395472,767087,395472,627386,493908,9512,9512,9512,4201.33,4201.33,4201.33,9512,0.0202335,27028,27028,27028,10900.6,10900.6,10900.6,27028,0.0609227,0,0,0,0,0,0,0,0,395472,NA
"1198",1,1984,"TIME",1,758519,665846,400666,1046580,400666,665846,524003,8806,8806,8806,4365.26,4365.26,4365.26,8806,0.0159348,15092,15092,15092,5560.72,5560.72,5560.72,15092,0.0379188,0,0,0,0,0,0,0,0,400666,NA
