"Year","Spawning Biomass (mt)","Interval","Fraction Unfished","Interval"
2012,"197,147","170,086–224,208","0.4","0.3–0.4"
2013,"199,624","169,081–230,167","0.4","0.3–0.5"
2014,"204,481","169,165–239,797","0.4","0.3–0.5"
2015,"171,967","140,802–203,132","0.3","0.3–0.4"
2016,"162,064","134,594–189,534","0.3","0.3–0.4"
2017,"110,250","94,237–126,263","0.2","0.2–0.3"
2018,"96,749","80,313–113,185","0.2","0.2–0.2"
2019,"93,876","78,468–109,284","0.2","0.1–0.2"
2020,"68,011","56,944–79,079","0.1","0.1–0.2"
2021,"76,038","64,347–87,729","0.1","0.1–0.2"
2022,"79,747","65,437–94,057","0.2","0.1–0.2"
