"","Estimate","Interval"
"Unfished Spawning Biomass (mt)","324,851","277,007–372,695"
"Unfished Age 3+ Biomass (mt)","455,869","383,619–528,119"
"Unfished Recruitment (R0)","550,904","373,885–727,923"
"Spawning Biomass (mt) (2022)","79,747","65,437–94,057"
"Fraction Unfished (2022)","0.15","0.12–0.19"
"Reference Points Based SB40%","",""
"Proxy Spawning Biomass (mt) SB40%","129,940","110,802–149,078"
"SPR Resulting in SB40%","0.400","0.400–0.400"
"Exploitation Rate Resulting in SB40%","0.734","0.634–0.834"
"Yield with SPR Based On SB40% (mt)","74,411","59,818–89,003"
"Reference Points Based on SPR Proxy for MSY","",""
"Proxy Spawning Biomass (mt) (SPR40)","129,940","110,802–149,078"
"SPR40","0.400"," - "
"Exploitation Rate Corresponding to SPR40","0.734","0.634–0.834"
"Yield with SPR40 at SB SPR (mt)","74,411","59,818–89,003"
"Reference Points Based on Estimated MSY Values","",""
"Spawning Biomass (mt) at MSY (SB MSY)","129,940","110,802–149,078"
"SPR MSY","0.400","0.400–0.400"
"Exploitation Rate Corresponding to SPR MSY","0.734","0.634–0.834"
"MSY (mt)","74,411","59,818–89,003"
