"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1254630,312498,193369,133566,95068.6,70428.5,52174.7,39040.5,29506.1,87704.3
"2",3177940,312487,156676,119122,90132.8,65268,50238,37213.1,28138.3,86350.6
"3",3637960,791517,156666,96486.6,80247.4,61714.7,46427.1,35731.6,26747.1,84238.7
"4",10545500,905968,396187,94827.5,59372.6,47759.4,37902.4,28497.8,22204.6,76240.8
"5",2189200,2625980,453112,237767,55806,32982.2,27288.3,21639.9,16486.9,65524.7
"6",2209570,545100,1312110,269181,132750,28591.1,17314.3,14311,11511.8,52742.3
"7",8660680,550234,272731,790700,162093,76514.3,16982.7,10278,8604.07,43732.7
"8",11709500,2156550,275060,162840,454214,86966.5,42168.7,9351.76,5737.59,34557.8
"9",14321100,2915580,1077460,163247,90350.2,230173,45124.6,21857.3,4917.65,26030.9
"10",25424800,3565830,1456570,639382,91395.6,46817.8,122384,23971.5,11776.3,20145
"11",12958600,6330850,1782500,870346,373043,50654,26720.5,69802.6,13854.5,20871
"12",7231480,3227080,3169040,1081270,538889,220351,30742.9,16200.1,42849,23377.5
"13",7229040,1800850,1615610,1928000,685509,332246,139949,19507.1,10401.9,44914.9
"14",4967740,1800020,900767,978665,1227270,433172,217138,91407.8,12888.7,39222.9
"15",5933450,1236600,898390,538762,605766,752863,274789,137658,58642.1,36321.3
"16",14760200,1476490,615717,530079,320832,352629,451950,164798,83598,62198.2
"17",4315400,3673460,736082,365729,312949,178215,199827,255463,94376.1,92400.7
"18",1789470,1074480,1837810,448285,238984,204795,120618,135131,174670,132915
"19",4998250,445609,538064,1125900,298314,160107,141973,83547.5,94609.8,221732
"20",11468500,1244670,223182,330024,752362,200935,111587,98860.2,58799.3,230158
"21",8451930,2855910,623381,136841,219490,499707,137604,76303,68333.6,208951
"22",3250630,2104890,1431160,383439,91707.1,145375,338428,92897.5,52066.6,199014
"23",2362350,809540,1054770,880066,256039,59390.9,94793.3,219200,60814.5,177087
"24",1665970,588313,405624,648295,586714,165518,38674.8,61317.8,143311,167213
"25",1701080,414861,294669,248823,429402,377248,107673,25016.9,40094,215604
"26",6739470,423604,207791,180773,164999,277405,247092,70155,16476.3,181349
"27",3154900,1678380,212263,127817,121407,109885,188888,167652,48104,143128
"28",1454720,785703,841125,130671,86166.7,81566.4,75645.8,129625,116260,138289
"29",1402140,362223,393324,514387,85437.2,53957.5,51407.3,47357.9,82050.7,173487
"30",1757780,349003,180913,237313,317947,48001.2,29996.3,28306.1,26395.7,164989
"31",6625070,437574,174417,109515,148815,184919,27906.1,17310.3,16531.5,129217
"32",7114160,1649390,218824,106001,70064,91021.2,114653,17222.4,10807.5,101390
"33",1003840,1770320,822523,131182,65924.3,42324.1,56332.5,70778.7,10759,78179.6
"34",776964,249740,881678,491564,82754.8,41553.3,27576.1,36666,46599.7,63197.9
"35",731720,193284,124332,527431,315153,53746.2,27994.6,18570,24967.4,78186.1
"36",1879320,181882,95767.5,73238,332828,202283,35823.6,18654.9,12515.1,73615.8
"37",6025550,467103,89968.3,55677.5,44800.5,205938,129876,22994.1,12115.7,60768.7
"38",5689230,1497910,231160,52299.5,34087.8,27789.6,132613,83616.4,14978.8,51422.8
"39",7024870,1414830,742922,135957,32981.2,21928.9,18580.4,88660,56536.9,47494.2
"40",3108640,1748280,704859,443111,87226.6,21597.9,14927.9,12647.8,61022.8,74236
"41",1215790,773874,872920,425331,291343,58759.7,15132.5,10459.1,8956.86,98440.6
"42",5272960,302637,385990,522187,273901,191660,40192.1,10350.6,7233.09,77967
"43",856500,1312830,151172,231813,334838,178761,130011,27262.9,7099.33,61648.9
"44",37178700,213282,656751,91321.9,147203,213969,118570,86223.9,18287.9,49268.8
"45",2039080,9258850,106780,398845,58328,94187.7,142027,78691,57878.4,48057.8
"46",37888.1,507798,4634100,64497.8,242211,34137,56896.7,85755.6,48112.9,70174
"47",5952.51,9434.88,253981,2778960,38241.2,138434,20149.7,33571,51252.4,78410.9
"48",2124160,1482.35,4721.07,153116,1708700,23210.7,87042.5,12667,21360,89049.4
"49",5414880,528978,741.744,2844.83,93327.9,1020290,14343.6,53776.3,7922.43,76369
"50",0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,0,0
