,Sp/Srv/Fsh_1,Sp/Srv/Fsh_2,Sp/Srv/Fsh_3,Sp/Srv/Fsh_4,Sp/Srv/Fsh_5,Sp/Srv/Fsh_6,Sp/Srv/Fsh_7,Sp/Srv/Fsh_8,,,,,,,,,,,,,,,
Survey biomass,-47.9321,-16.3614,-51.0288,16.9397,-16.305,-1.21976,0,0,,,,,,,,,,,,,,,
Total catch,0,0,0,0,0,0,0,-0.176738,,,,,,,,,,,,,,,
Age/length composition data,-33.1143,-19.303,-35.6183,0,0,-6.41928,0,-117.75,,,,,,,,,,,,,,,
Sex ratio,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Non-parametric selectivity,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Selectivity deviates,0,0,0,0,0,0,0,-16.0142,,,,,,,,,,,,,,,
NA,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Selectivity normalization,0,0,0,0,0,0,0,4.17E-21,,,,,,,,,,,,,,,
Catchability prior,0,-0.0935944,0,0,0,0,0,0,,,,,,,,,,,,,,,
Catchability deviates,-23.9279,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Recruitment deviates,-34.7338,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Initial abundance deviates,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Fishing mortality deviates,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
SPR Calculation,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Zero n-at-age penalty,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ration,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ration penalties,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Stomach content proportion by weight,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.176738,-117.75,0,-47.9321,-33.1143,0,-16.3614,-19.303,0,0,-51.0288,-35.6183,0,-16.9397,-16.305,-1.21976,-6.41928,-34.7338,-16.0142,-4.54E-16,-23.9279,0,-0.0935944,-3.88914
