"","years",""
"1",1977,0.92437342841523
"2",1978,0.90015773317425
"3",1979,0.911297207489778
"4",1980,0.93104319171594
"5",1981,1.06138998435817
"6",1982,0.987248972215442
"7",1983,1.06839100274126
"8",1984,1.02580754460357
"9",1985,0.99393626505098
"10",1986,1.0189844920652
"11",1987,1.1555888925454
"12",1988,1.17444113135174
"13",1989,1.17501306995613
"14",1990,1.19388629332183
"15",1991,1.47776796516365
"16",1992,1.37593778932071
"17",1993,1.35427223692707
"18",1994,1.33137549887114
"19",1995,1.2547883177605
"20",1996,1.26167647125228
"21",1997,1.21593080369982
"22",1998,1.31886589777919
"23",1999,1.2082528662694
"24",2000,1.21746594147959
"25",2001,1.31917175855918
"26",2002,1.31521594968525
"27",2003,1.51801142094585
"28",2004,1.53266455084541
"29",2005,1.54925258934452
"30",2006,1.48519457703123
"31",2007,1.37248389072851
"32",2008,1.33421475769621
"33",2009,1.23346610518698
"34",2010,1.37783860009765
"35",2011,1.23747662252151
"36",2012,1.14095854590046
"37",2013,1.08006627769069
"38",2014,0.979980911119472
"39",2015,1.15564323919932
"40",2016,1.17025308225078
"41",2017,1.08850945856169
"42",2018,1.07431000741231
"43",2019,1.01067623140704
"44",2020,1.0167560459307
"45",2021,1.03356485465523
"46",2022,1.02445352836806
"47",2023,1.04176245911123
