ParName   Value   Gradient
ln_q_srv(1)     0.455624 -4.07837e-06
natmort_f     0.199846  3.83638e-05
natmort_m     0.233332  3.17645e-05
mean_log_rec      6.88855 -3.82032e-05
rec_dev(1956)     -2.45693 -1.68855e-05
rec_dev(1957)     -1.49786 -2.78504e-05
rec_dev(1958)     -1.64659 -3.10618e-05
rec_dev(1959)     -1.78008 -2.66451e-05
rec_dev(1960)     -1.88481 -4.58733e-05
rec_dev(1961)     -1.93925   -1.651e-05
rec_dev(1962)     -2.09486 -2.18979e-05
rec_dev(1963)     -2.27116 -2.11773e-05
rec_dev(1964)     -1.65332 -3.67678e-05
rec_dev(1965)     -1.54243 -4.10312e-05
rec_dev(1966)    -0.894069 -5.92625e-05
rec_dev(1967)    -0.760194 -3.90157e-05
rec_dev(1968)    -0.638926 -2.81274e-05
rec_dev(1969)    -0.540262 -4.04127e-05
rec_dev(1970)   -0.0300466 -6.82237e-05
rec_dev(1971)     0.229858 -8.05621e-05
rec_dev(1972)    -0.507348 -2.46343e-05
rec_dev(1973)    -0.840967 -2.15045e-05
rec_dev(1974)    -0.815068 -3.37966e-07
rec_dev(1975)    -0.521952  2.75882e-06
rec_dev(1976)     0.329938  1.07225e-05
rec_dev(1977)    -0.303738  3.42135e-06
rec_dev(1978)     0.052316 -6.99456e-06
rec_dev(1979)   -0.0347619  5.52265e-07
rec_dev(1980)     0.206799 -9.43323e-07
rec_dev(1981)     0.751337  5.23589e-06
rec_dev(1982)     0.763876   2.3089e-06
rec_dev(1983)     0.711783 -1.07861e-05
rec_dev(1984)      1.40177 -4.92096e-05
rec_dev(1985)        1.261 -3.93953e-05
rec_dev(1986)      1.19112 -1.57873e-05
rec_dev(1987)      1.73239  1.63179e-05
rec_dev(1988)      2.27488  3.11269e-05
rec_dev(1989)      1.30855  2.55552e-06
rec_dev(1990)      1.07757 -7.58513e-06
rec_dev(1991)      1.93346 -3.34587e-05
rec_dev(1992)      1.21475 -5.20037e-06
rec_dev(1993)     0.655041  1.48633e-05
rec_dev(1994)     0.820134 -8.03559e-06
rec_dev(1995)     0.362231 -8.32479e-06
rec_dev(1996)     0.426944  3.12828e-06
rec_dev(1997)     0.498291  5.06871e-06
rec_dev(1998)    0.0416118  7.36385e-06
rec_dev(1999)     0.556179 -1.97248e-06
rec_dev(2000)     0.312328 -2.22625e-05
rec_dev(2001)      1.03793 -2.74583e-05
rec_dev(2002)      1.49571 -5.36837e-07
rec_dev(2003)      1.64265   -2.688e-05
rec_dev(2004)       1.4498    1.476e-05
rec_dev(2005)      1.34262  2.02837e-05
rec_dev(2006)      1.55112 -1.73763e-07
rec_dev(2007)     0.327118  -1.9855e-07
rec_dev(2008)    -0.888653  1.48269e-06
rec_dev(2009)     -1.04542  1.13744e-06
rec_dev(2010)     -1.34825  9.02213e-06
rec_dev(2011)     -1.07732  1.88392e-05
rec_dev(2012)    -0.865608  3.32266e-05
rec_dev(2013)    -0.891512   1.1595e-05
rec_dev(2014)     -1.21965  3.92185e-06
rec_dev(2015)     0.148143 -3.93333e-05
rec_dev(2016)     0.667797  1.34271e-06
rec_dev(2017)     0.783192  6.09899e-06
rec_dev(2018)      0.59681 -3.73691e-05
rec_dev(2019)     0.549079 -8.07309e-05
rec_dev(2020)     0.495288  -5.3366e-05
rec_dev(2021)    0.0798639  2.42682e-05
rec_dev(2022)     -0.25704 -4.24082e-06
rec_dev(2023)   -0.0332567 -1.67653e-06
rec_dev(2024)  5.05572e-05   3.0021e-06
log_avg_fmort(1)     -2.43909 -2.50704e-05
fmort_dev(1,1975)      1.76761 -1.60115e-07
fmort_dev(1,1976)      2.49487  -0.00016367
fmort_dev(1,1977)    -0.151323  -0.00013006
fmort_dev(1,1978)      0.13885 -0.000202526
fmort_dev(1,1979)    -0.724467  2.03012e-05
fmort_dev(1,1980)    -0.906911  1.39129e-05
fmort_dev(1,1981)     -1.00742  3.78907e-06
fmort_dev(1,1982)     -0.71457  4.76554e-06
fmort_dev(1,1983)    -0.284972  2.62928e-06
fmort_dev(1,1984)     0.727548 -1.37641e-05
fmort_dev(1,1985)    -0.548356  4.18082e-06
fmort_dev(1,1986)    -0.422472  5.62666e-06
fmort_dev(1,1987)     0.163053  7.48744e-06
fmort_dev(1,1988)     0.863935  1.00528e-05
fmort_dev(1,1989)     0.631443 -2.46434e-06
fmort_dev(1,1990)    -0.163684 -7.38036e-06
fmort_dev(1,1991)     0.497098 -1.57642e-05
fmort_dev(1,1992)      0.52914 -6.03544e-06
fmort_dev(1,1993)     0.437772 -5.34624e-08
fmort_dev(1,1994)     0.536715 -3.71074e-05
fmort_dev(1,1995)     0.490035 -7.99187e-05
fmort_dev(1,1996)     0.500543 -1.57879e-05
fmort_dev(1,1997)      1.45431  0.000213955
fmort_dev(1,1998)    -0.127838 -2.37278e-05
fmort_dev(1,1999)    -0.124443 -4.47698e-05
fmort_dev(1,2000)   -0.0361534 -2.13429e-05
fmort_dev(1,2001)    -0.837635 -1.38189e-05
fmort_dev(1,2002)    -0.452947   7.1864e-07
fmort_dev(1,2003)    -0.655406  2.15423e-06
fmort_dev(1,2004)    -0.278816  8.55339e-06
fmort_dev(1,2005)    -0.504617 -6.95895e-07
fmort_dev(1,2006)    -0.390099 -2.59194e-06
fmort_dev(1,2007)    -0.386531  1.16257e-05
fmort_dev(1,2008)    0.0820007  -6.3461e-06
fmort_dev(1,2009)    0.0700711  -2.0228e-05
fmort_dev(1,2010)     0.218578 -1.68859e-05
fmort_dev(1,2011)     0.277945 -2.56683e-06
fmort_dev(1,2012)     0.546415 -1.23642e-05
fmort_dev(1,2013)     0.225298 -1.58459e-05
fmort_dev(1,2014)     0.166813  2.48306e-06
fmort_dev(1,2015)    0.0737325 -9.37064e-07
fmort_dev(1,2016)   -0.0247914 -6.53797e-05
fmort_dev(1,2017)    -0.183666  0.000109445
fmort_dev(1,2018)    -0.437344 -5.40886e-05
fmort_dev(1,2019)     -0.38858 -1.76654e-06
fmort_dev(1,2020)    -0.407886  3.55335e-06
fmort_dev(1,2021)     -1.02662 -1.88643e-05
fmort_dev(1,2022)    -0.953953   0.00011307
fmort_dev(1,2023)    -0.591295  6.06507e-05
fmort_dev(1,2024)    -0.160969 -0.000220754
sel_slope_fsh_f(1)     0.967668 -6.79084e-05
sel50_fsh_f(1)      9.27995 -1.07098e-05
sel_slope_fsh_devs_f(1,1975)    0.0765724  1.91603e-05
sel_slope_fsh_devs_f(1,1976)     0.121317  4.11516e-05
sel_slope_fsh_devs_f(1,1977)    0.0292448  4.97858e-06
sel_slope_fsh_devs_f(1,1978)    0.0389057  8.81387e-06
sel_slope_fsh_devs_f(1,1979)     0.220218 -1.15101e-05
sel_slope_fsh_devs_f(1,1980)    0.0721536 -5.34939e-06
sel_slope_fsh_devs_f(1,1981)    0.0990374 -1.32277e-06
sel_slope_fsh_devs_f(1,1982)     0.238839  1.83745e-06
sel_slope_fsh_devs_f(1,1983)     0.100313 -7.52205e-06
sel_slope_fsh_devs_f(1,1984)  -0.00267127 -1.26795e-05
sel_slope_fsh_devs_f(1,1985)     0.400233  9.92226e-06
sel_slope_fsh_devs_f(1,1986)     0.472249  8.77616e-06
sel_slope_fsh_devs_f(1,1987)     0.257884 -6.79852e-06
sel_slope_fsh_devs_f(1,1988)     0.245426  3.95169e-06
sel_slope_fsh_devs_f(1,1989)     0.386488  1.29026e-05
sel_slope_fsh_devs_f(1,1990)     0.151522  5.27927e-06
sel_slope_fsh_devs_f(1,1991)   -0.0761885  1.37706e-05
sel_slope_fsh_devs_f(1,1992)    -0.104696  1.01224e-06
sel_slope_fsh_devs_f(1,1993)     0.172585  5.42734e-06
sel_slope_fsh_devs_f(1,1994)   -0.0669218    1.184e-05
sel_slope_fsh_devs_f(1,1995)     0.042412   2.4753e-06
sel_slope_fsh_devs_f(1,1996)    0.0483908 -8.74218e-06
sel_slope_fsh_devs_f(1,1997)     0.125142 -3.66743e-05
sel_slope_fsh_devs_f(1,1998)    -0.311046  1.50862e-05
sel_slope_fsh_devs_f(1,1999)    -0.253016  9.71599e-06
sel_slope_fsh_devs_f(1,2000)    -0.374582 -3.32564e-06
sel_slope_fsh_devs_f(1,2001)     -0.49265  1.15391e-06
sel_slope_fsh_devs_f(1,2002)    -0.479059  6.10946e-06
sel_slope_fsh_devs_f(1,2003)    -0.358341  8.38479e-06
sel_slope_fsh_devs_f(1,2004)    -0.176295  6.07833e-06
sel_slope_fsh_devs_f(1,2005)    -0.164407  7.02396e-06
sel_slope_fsh_devs_f(1,2006)   -0.0682966  2.32953e-06
sel_slope_fsh_devs_f(1,2007)    0.0835065  1.58108e-05
sel_slope_fsh_devs_f(1,2008)     0.106224  3.68402e-06
sel_slope_fsh_devs_f(1,2009)    0.0930855  9.62759e-06
sel_slope_fsh_devs_f(1,2010)   -0.0594413  5.30506e-06
sel_slope_fsh_devs_f(1,2011)     0.016221 -6.30105e-06
sel_slope_fsh_devs_f(1,2012)    -0.154819 -1.08258e-06
sel_slope_fsh_devs_f(1,2013)    -0.348703 -7.24458e-06
sel_slope_fsh_devs_f(1,2014)    -0.124269  1.33448e-06
sel_slope_fsh_devs_f(1,2015)    -0.358399  4.00664e-06
sel_slope_fsh_devs_f(1,2016)    -0.219413 -6.03926e-06
sel_slope_fsh_devs_f(1,2017)    -0.415769 -2.57259e-05
sel_slope_fsh_devs_f(1,2018)    0.0798826 -3.79804e-05
sel_slope_fsh_devs_f(1,2019)    -0.114334 -6.22511e-07
