"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 2+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","(1-SPR)/(1-SPR_40%)","Exploitation Rate"
1966,"1,539,620","581,565","1,388,750","28.4","1,117,340",137700,"0.702",0.0991539153915392
1967,"1,597,460","578,636","1,469,070","28.3","2,992,440",214370,"0.905",0.145922250131035
1968,"1,666,270","578,059","1,405,740","28.2","1,841,810",122180,"0.713",0.086915076756726
1969,"1,906,880","638,387","1,753,740","31.2","599,594",180130,"0.837",0.102711918528402
1970,"2,012,850","751,753","1,897,520","36.7","5,044,900",234590,"0.905",0.123629790463342
1971,"2,151,680","769,892","1,746,440","37.6","587,696",154620,"0.719",0.0885343899590023
1972,"2,418,210","808,580","2,367,220","39.5","348,621",117540,"0.576",0.0496531796791173
1973,"2,470,630","1,036,620","2,398,430","50.6","3,314,660",162640,"0.622",0.0678110263797568
1974,"2,491,910","1,028,340","2,227,340","50.2","261,620",211260,"0.697",0.0948485637576661
1975,"3,072,910","1,166,470","2,981,880","57.0","1,041,060",221350,"0.772",0.0742316927575892
1976,"3,249,580","1,423,820","3,156,880","69.5","156,028",237520,"0.692",0.0752388434150174
1977,"3,037,730","1,230,970","2,808,760","60.1","3,964,260",132690,"0.484",0.0472414873467295
1978,"2,508,350","1,051,160","2,267,520","51.3","102,506",103637,"0.482",0.0457049992943833
1979,"2,871,520","1,114,600","2,823,930","54.4","850,951",137110,"0.508",0.0485529032235218
1980,"3,079,420","1,130,510","2,505,610","55.2","11,460,600",89929.9,"0.401",0.0358914196542958
1981,"3,301,280","1,048,380","2,284,750","51.2","187,027",139120,"0.550",0.0608906882591093
1982,"3,748,970","1,097,910","3,723,470","53.6","191,830",107737,"0.464",0.0289345690981799
1983,"3,665,980","1,598,400","3,633,220","78.1","354,693",113931,"0.444",0.0313581341069354
1984,"3,907,820","1,686,750","3,563,610","82.4","9,532,250",138492,"0.499",0.0388628385261013
1985,"4,610,150","1,491,670","3,248,010","72.8","101,068",110399,"0.329",0.0339897352532782
1986,"4,682,060","1,574,980","4,665,530","76.9","143,190",210582,"0.557",0.0451357080546047
